seatID,auditoriumID,row_label,seatNumber,label,taken
A01-A1,A01,A,1,A1,False
A01-A2,A01,A,2,A2,False
A01-A3,A01,A,3,A3,False
A01-A4,A01,A,4,A4,False
A01-A5,A01,A,5,A5,False
A01-B1,A01,B,1,B1,False
A01-B2,A01,B,2,B2,False
A01-B3,A01,B,3,B3,False
A01-B4,A01,B,4,B4,False
A01-B5,A01,B,5,B5,False
A01-C1,A01,C,1,C1,False
A01-C2,A01,C,2,C2,False
A01-C3,A01,C,3,C3,False
A01-C4,A01,C,4,C4,False
A01-C5,A01,C,5,C5,False
A01-D1,A01,D,1,D1,False
A01-D2,A01,D,2,D2,False
A01-D3,A01,D,3,D3,False
A01-D4,A01,D,4,D4,False
A01-D5,A01,D,5,D5,False
A01-E1,A01,E,1,E1,False
A01-E2,A01,E,2,E2,False
A01-E3,A01,E,3,E3,False
A01-E4,A01,E,4,E4,False
A01-E5,A01,E,5,E5,False
A02-A1,A02,A,1,A1,False
A02-A2,A02,A,2,A2,False
A02-A3,A02,A,3,A3,False
A02-A4,A02,A,4,A4,False
A02-A5,A02,A,5,A5,False
A02-B1,A02,B,1,B1,False
A02-B2,A02,B,2,B2,False
A02-B3,A02,B,3,B3,False
A02-B4,A02,B,4,B4,False
A02-B5,A02,B,5,B5,False
A02-C1,A02,C,1,C1,False
A02-C2,A02,C,2,C2,False
A02-C3,A02,C,3,C3,False
A02-C4,A02,C,4,C4,False
A02-C5,A02,C,5,C5,False
A02-D1,A02,D,1,D1,False
A02-D2,A02,D,2,D2,False
A02-D3,A02,D,3,D3,False
A02-D4,A02,D,4,D4,False
A02-D5,A02,D,5,D5,False
A02-E1,A02,E,1,E1,False
A02-E2,A02,E,2,E2,False
A02-E3,A02,E,3,E3,False
A02-E4,A02,E,4,E4,False
A02-E5,A02,E,5,E5,False
A03-A1,A03,A,1,A1,False
A03-A2,A03,A,2,A2,False
A03-A3,A03,A,3,A3,False
A03-A4,A03,A,4,A4,False
A03-A5,A03,A,5,A5,False
A03-B1,A03,B,1,B1,False
A03-B2,A03,B,2,B2,False
A03-B3,A03,B,3,B3,False
A03-B4,A03,B,4,B4,False
A03-B5,A03,B,5,B5,False
A03-C1,A03,C,1,C1,False
A03-C2,A03,C,2,C2,False
A03-C3,A03,C,3,C3,False
A03-C4,A03,C,4,C4,False
A03-C5,A03,C,5,C5,False
A03-D1,A03,D,1,D1,False
A03-D2,A03,D,2,D2,False
A03-D3,A03,D,3,D3,False
A03-D4,A03,D,4,D4,False
A03-D5,A03,D,5,D5,False
A03-E1,A03,E,1,E1,False
A03-E2,A03,E,2,E2,False
A03-E3,A03,E,3,E3,False
A03-E4,A03,E,4,E4,False
A03-E5,A03,E,5,E5,False
A04-A1,A04,A,1,A1,False
A04-A2,A04,A,2,A2,False
A04-A3,A04,A,3,A3,False
A04-A4,A04,A,4,A4,False
A04-A5,A04,A,5,A5,False
A04-B1,A04,B,1,B1,False
A04-B2,A04,B,2,B2,False
A04-B3,A04,B,3,B3,False
A04-B4,A04,B,4,B4,False
A04-B5,A04,B,5,B5,False
A04-C1,A04,C,1,C1,False
A04-C2,A04,C,2,C2,False
A04-C3,A04,C,3,C3,False
A04-C4,A04,C,4,C4,False
A04-C5,A04,C,5,C5,False
A04-D1,A04,D,1,D1,False
A04-D2,A04,D,2,D2,False
A04-D3,A04,D,3,D3,False
A04-D4,A04,D,4,D4,False
A04-D5,A04,D,5,D5,False
A04-E1,A04,E,1,E1,False
A04-E2,A04,E,2,E2,False
A04-E3,A04,E,3,E3,False
A04-E4,A04,E,4,E4,False
A04-E5,A04,E,5,E5,False
A05-A1,A05,A,1,A1,False
A05-A2,A05,A,2,A2,False
A05-A3,A05,A,3,A3,False
A05-A4,A05,A,4,A4,False
A05-A5,A05,A,5,A5,False
A05-B1,A05,B,1,B1,False
A05-B2,A05,B,2,B2,False
A05-B3,A05,B,3,B3,False
A05-B4,A05,B,4,B4,False
A05-B5,A05,B,5,B5,False
A05-C1,A05,C,1,C1,False
A05-C2,A05,C,2,C2,False
A05-C3,A05,C,3,C3,False
A05-C4,A05,C,4,C4,False
A05-C5,A05,C,5,C5,False
A05-D1,A05,D,1,D1,False
A05-D2,A05,D,2,D2,False
A05-D3,A05,D,3,D3,False
A05-D4,A05,D,4,D4,False
A05-D5,A05,D,5,D5,False
A05-E1,A05,E,1,E1,False
A05-E2,A05,E,2,E2,False
A05-E3,A05,E,3,E3,False
A05-E4,A05,E,4,E4,False
A05-E5,A05,E,5,E5,False
A06-A1,A06,A,1,A1,False
A06-A2,A06,A,2,A2,False
A06-A3,A06,A,3,A3,False
A06-A4,A06,A,4,A4,False
A06-A5,A06,A,5,A5,False
A06-B1,A06,B,1,B1,False
A06-B2,A06,B,2,B2,False
A06-B3,A06,B,3,B3,False
A06-B4,A06,B,4,B4,False
A06-B5,A06,B,5,B5,False
A06-C1,A06,C,1,C1,False
A06-C2,A06,C,2,C2,False
A06-C3,A06,C,3,C3,False
A06-C4,A06,C,4,C4,False
A06-C5,A06,C,5,C5,False
A06-D1,A06,D,1,D1,False
A06-D2,A06,D,2,D2,False
A06-D3,A06,D,3,D3,False
A06-D4,A06,D,4,D4,False
A06-D5,A06,D,5,D5,False
A06-E1,A06,E,1,E1,False
A06-E2,A06,E,2,E2,False
A06-E3,A06,E,3,E3,False
A06-E4,A06,E,4,E4,False
A06-E5,A06,E,5,E5,False
A07-A1,A07,A,1,A1,False
A07-A2,A07,A,2,A2,False
A07-A3,A07,A,3,A3,False
A07-A4,A07,A,4,A4,False
A07-A5,A07,A,5,A5,False
A07-B1,A07,B,1,B1,False
A07-B2,A07,B,2,B2,False
A07-B3,A07,B,3,B3,False
A07-B4,A07,B,4,B4,False
A07-B5,A07,B,5,B5,False
A07-C1,A07,C,1,C1,False
A07-C2,A07,C,2,C2,False
A07-C3,A07,C,3,C3,False
A07-C4,A07,C,4,C4,False
A07-C5,A07,C,5,C5,False
A07-D1,A07,D,1,D1,False
A07-D2,A07,D,2,D2,False
A07-D3,A07,D,3,D3,False
A07-D4,A07,D,4,D4,False
A07-D5,A07,D,5,D5,False
A07-E1,A07,E,1,E1,False
A07-E2,A07,E,2,E2,False
A07-E3,A07,E,3,E3,False
A07-E4,A07,E,4,E4,False
A07-E5,A07,E,5,E5,False
A08-A1,A08,A,1,A1,False
A08-A2,A08,A,2,A2,False
A08-A3,A08,A,3,A3,False
A08-A4,A08,A,4,A4,False
A08-A5,A08,A,5,A5,False
A08-B1,A08,B,1,B1,False
A08-B2,A08,B,2,B2,False
A08-B3,A08,B,3,B3,False
A08-B4,A08,B,4,B4,False
A08-B5,A08,B,5,B5,False
A08-C1,A08,C,1,C1,False
A08-C2,A08,C,2,C2,False
A08-C3,A08,C,3,C3,False
A08-C4,A08,C,4,C4,False
A08-C5,A08,C,5,C5,False
A08-D1,A08,D,1,D1,False
A08-D2,A08,D,2,D2,False
A08-D3,A08,D,3,D3,False
A08-D4,A08,D,4,D4,False
A08-D5,A08,D,5,D5,False
A08-E1,A08,E,1,E1,False
A08-E2,A08,E,2,E2,False
A08-E3,A08,E,3,E3,False
A08-E4,A08,E,4,E4,False
A08-E5,A08,E,5,E5,False
